Round;issue before;Debator1;issue before;Debator2;issue before;Debator3;issue;Runtime;
Initial State; - ;0.26548672566371684; - ;0.1635750100089604; - ;0.15612192378810116;1;0;
ROUND 1;1;2;0.5;8;0.3333333333333333;11;0.25;0.0010449886322021484;
ROUND 2;0.25;-;0.25;6;0.2;1;0.16666666666666666;0.00099945068359375;
ROUND 3;0.16666666666666666;20;0.18181818181818182;7,36;0.16666666666666666;12,52;0.15384615384615385;0.0009999275207519531;
ROUND 4;0.15384615384615385;-;0.15384615384615385;40,41;0.16216216216216217;53;0.15789473684210528;0.0010082721710205078;
ROUND 5;0.15789473684210528;55;0.15957446808510642;39,42;0.1639344262295082;37;0.15957446808510636;0.0011348724365234375;
ROUND 6;0.15957446808510636;-;0.15957446808510636;19;0.1639344262295082;5,24;0.15151515151515152;0.0009152889251708984;
ROUND 7;0.15151515151515152;-;0.15151515151515152;30;0.1639344262295082;32;0.15957446808510636;0.0009479522705078125;
ROUND 8;0.15957446808510636;-;0.15957446808510636;21;0.16172506738544473;26;0.15748031496062992;0.0010526180267333984;
ROUND 9;0.15748031496062992;-;0.15748031496062992;29;0.16438356164383564;10,48;0.1518987341772152;0.0010461807250976562;
ROUND 10;0.1518987341772152;-;0.1518987341772152;14;0.16438356164383564;17;0.16;0.0008480548858642578;
ROUND 11;0.16;-;0.16;23;0.16172506738544473;13;0.15957446808510642;0.0009012222290039062;
ROUND 12;0.15957446808510642;-;0.15957446808510642;34;0.16666666666666666;9,43;0.15384615384615385;0.0008440017700195312;
ROUND 13;0.15384615384615385;-;0.15384615384615385;51;0.16666666666666666;50;0.16216216216216217;0.0008451938629150391;
ROUND 14;0.16216216216216217;-;0.16216216216216217;54;0.16291698991466255;45;0.15861027190332327;0.0007634162902832031;
ROUND 15;0.15861027190332327;-;0.15861027190332327;46;0.1603053435114504;15;0.15903067020068157;0.000682830810546875;
ROUND 16;0.15903067020068157;-;0.15903067020068157;27;0.1597565614302016;38;0.15860482680490234;0.0005948543548583984;
ROUND 17;0.15860482680490234;-;0.15860482680490234;31;0.15923621762283077;28;0.1589927809971066;0.0005195140838623047;
ROUND 18;0.1589927809971066;-;0.1589927809971066;-;0.1589927809971066;-;0.1589927809971066;0.0003743171691894531;
