Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu before;Debator4;issu before;Debator5;issu before;Debator6;issu before;Debator7;issu before;Debator8;issu before;Debator9;issu before;Debator10;issu;Run Time;
Initial State; - ;0.375; - ;0.38095238095238093; - ;0.29577464788732394; - ;0.625; - ;1.0; - ;0.6000000000000001; - ;0.2033898305084746; - ;0.5; - ;1.0; - ;0.3211009174311927;1;0;
ROUND 1;1;5;0.5;2;0.3333333333333333;-;0.3333333333333333;-;0.3333333333333333;-;0.3333333333333333;-;0.3333333333333333;3;0.25;-;0.25;-;0.25;-;0.25;0.0010671615600585938;
ROUND 2;0.25;-;0.25;-;0.25;-;0.25;-;0.25;-;0.25;-;0.25;4;0.2;-;0.2;-;0.2;14;0.2222222222222222;0.0006489753723144531;
ROUND 3;0.2222222222222222;-;0.2222222222222222;-;0.2222222222222222;-;0.2222222222222222;-;0.2222222222222222;-;0.2222222222222222;-;0.2222222222222222;12;0.2142857142857143;-;0.2142857142857143;-;0.2142857142857143;16;0.2173913043478261;0.0007586479187011719;
ROUND 4;0.2173913043478261;-;0.2173913043478261;-;0.2173913043478261;13;0.21875;-;0.21875;-;0.21875;-;0.21875;11;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;0.0008823871612548828;
ROUND 5;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;-;0.2127659574468085;0.0006861686706542969;
