Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu;Run Time;
Initial State; - ;1.0; - ;0.5; - ;0.5;1;0;
ROUND 1;1;-;1;3;0.5;-;0.5;0.0001780986785888672;
ROUND 2;0.5;-;0.5;-;0.5;-;0.5;7.939338684082031e-05;
