Round,Debator 1,Debator 2,Debator 3,Debator 4,Debator 5,Debator 6,Debator 7,Debator 8,Debator 9,Debator 10,issu,
Initial State,1.0,0.75,0.7272727272727273,1.0,0.5714285714285714,0.6000000000000001,0.5714285714285714,0.75,1.0,1.0,1,
ROUND 1,-,-,1=>0,-,-,6=>1,5=>6,4=>1,-,-,0.7142857142857143,
ROUND 2,-,-,2=>5,-,3=>6,-,-,-,-,-,0.7058823529411764,
ROUND 3,-,-,-,-,-,-,-,-,-,-,0.7058823529411764,
