Round;issue before;Debator1;issue before;Debator2;issue;Runtime;
Initial State; - ;489776773288043188040506058454370285482652424798815266294480980478425495291958900560937703880600404177047469874542600881283133097713438570448145244963072652314869608936034959367999429068189487987415945792182898723158963399683654090663045320824899564229711981776647141340174514174729634400/4170141435255127788901654038773161198728200865344071862794590799580652463412887450833767400474278009505739279482906817746537230232092498260576130397586348481125268958218904384394138657113335961455889670814238170189108850198878402160665390060794526185492712423289895304086081181253909280471; - ;33176855711781067678096712753519217603403230803616104834081609017848228430189569720359516894675094197055609049580312363844633392145950403586868828425713113348999250250688347491860147330452350104357219622240852348099664757343369883979170511939722814791303726549743566127607455566995077005448930873765720670712992542654564333766918816/276541677878917451866329075622870998314595359329729666486898713809792066591802034966972620886698318047030601801358950550594277626858863564817025038159991122722525582572100724388668851674206045235820605594474820451274684478722231232302307541835321494964175139942144359454313945183948868979801157128462869190104420553783565343896412483;1;0;
ROUND 1;1;9;1/2;14;1/3;0.008696556091308594;
ROUND 2;1/3;1;1/4;4;1/5;0.011549234390258789;
ROUND 3;1/5;8;1/6;7;1/7;0.007960319519042969;
ROUND 4;1/7;12;1/8;-;1/8;0.007336854934692383;
ROUND 5;1/8;3;1/9;2235;2/17;0.008002996444702148;
ROUND 6;2/17;-;2/17;-;2/17;0.00789022445678711;
