Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu;Run Time;
Initial State; - ;0.30000000000000004; - ;0.2222222222222222; - ;0.46153846153846156;1;0;
ROUND 1;1;4;0.5;5;0.3333333333333333;13;0.4;0.00045871734619140625;
ROUND 2;0.4;2;0.2857142857142857;3;0.2222222222222222;7;0.25;0.000385284423828125;
ROUND 3;0.25;11;0.2857142857142857;1;0.2222222222222222;-;0.2222222222222222;0.00038623809814453125;
ROUND 4;0.2222222222222222;6;0.25;10;0.24000000000000005;-;0.24000000000000005;0.0003948211669921875;
ROUND 5;0.24000000000000005;14;0.25;-;0.25;-;0.25;0.00032591819763183594;
ROUND 6;0.25;-;0.25;-;0.25;-;0.25;0.000217437744140625;
