Round;issue before;Debator1;issue before;Debator2;issue;Runtime;
Initial State; - ;0.26548672566371684; - ;0.1635750100089604;1;0;
ROUND 1;1;2;0.5;8;0.3333333333333333;0.0005571842193603516;
ROUND 2;0.3333333333333333;3;0.25;11;0.2;0.0006489753723144531;
ROUND 3;0.2;20;0.2222222222222222;6;0.18181818181818182;0.0006029605865478516;
ROUND 4;0.18181818181818182;-;0.18181818181818182;7,36;0.16666666666666666;0.0006034374237060547;
ROUND 5;0.16666666666666666;-;0.16666666666666666;37;0.16216216216216214;0.0006089210510253906;
ROUND 6;0.16216216216216214;-;0.16216216216216214;-;0.16216216216216214;0.0005695819854736328;
