Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu before;Debator4;issu before;Debator5;issu before;Debator6;issu before;Debator7;issu before;Debator8;issu before;Debator9;issu before;Debator10;issu;Run Time;
Initial State; - ;0.25; - ;0.29; - ;0.42; - ;0.28; - ;1.00; - ;0.28; - ;0.24; - ;0.22; - ;0.29; - ;0.23;1.00;0;
ROUND 1;1;1,6;0.6666666666666666;5,36;0.5;4,29;0.4;2,9;0.3333333333333333;0.33;0.0007212162017822266;
ROUND 2;0.3333333333333333;3,15;0.2857142857142857;0.29;0.0007009506225585938;
ROUND 3;0.2857142857142857;8;0.27272727272727276;22;0.2857142857142857;0.29;0.0010390281677246094;
ROUND 4;0.2857142857142857;35;0.27272727272727276;34;0.29411764705882354;0.29;0.0009479522705078125;
ROUND 5;0.29411764705882354;30;0.2803738317757009;20;0.28708133971291866;28;0.2926829268292683;14;0.27906976744186046;0.28;0.0016376972198486328;
ROUND 6;0.27906976744186046;10;0.2727272727272727;12;0.2754098360655738;0.28;0.0010688304901123047;
ROUND 7;0.2754098360655738;16;0.27272727272727276;44;0.2745995423340961;0.27;0.0013244152069091797;
ROUND 8;0.2745995423340961;38;0.2714932126696833;21;0.2724538538656602;0.27;0.0012009143829345703;
ROUND 9;0.2724538538656602;33;0.27061063113193734;23;0.27131660379915523;0.27;0.00139617919921875;
ROUND 10;0.27131660379915523;42;0.26979162572363874;19;0.2702334847003799;0.27;0.0010385513305664062;
ROUND 11;0.2702334847003799;27;0.2690560280519568;37;0.2692528870528589;24;0.26973068814832396;45;0.27966948152183785;0.28;0.001819610595703125;
ROUND 12;0.27966948152183785;11;0.27865737808739705;0.28;0.0006897449493408203;
ROUND 13;0.27865737808739705;31;0.2784671895165294;0.28;0.0007228851318359375;
ROUND 14;0.2784671895165294;39;0.27842523481272585;0.28;0.0008559226989746094;
ROUND 15;0.27842523481272585;0.28;0.00035834312438964844;
