Round;issue before;Debator1;issue before;Debator2;issue;Runtime;
Initial State; - ;0.26548672566371684; - ;0.1635750100089604;1;0;
ROUND 1;1;2;0.5;8;0.3333333333333333;0.0005354881286621094;
ROUND 2;0.3333333333333333;3;0.25;11;0.2;0.0006601810455322266;
ROUND 3;0.2;20;0.2222222222222222;6;0.18181818181818182;0.0006425380706787109;
ROUND 4;0.18181818181818182;-;0.18181818181818182;7,36;0.16666666666666666;0.0005984306335449219;
ROUND 5;0.16666666666666666;-;0.16666666666666666;37;0.16216216216216214;0.0006322860717773438;
ROUND 6;0.16216216216216214;-;0.16216216216216214;-;0.16216216216216214;0.0005517005920410156;
