Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu before;Debator4;issu before;Debator5;issu before;Debator6;issu before;Debator7;issu before;Debator8;issu before;Debator9;issu before;Debator10;issu;Run Time;
ROUND 20;0.3141745563492187;-;0.3141745563492187;31;0.31417474237307347;191;0.3141748623001129;181;0.3141750175923468;176;0.31417496097840747;179;0.31417493461500856;-;0.31417493461500856;57;0.3141750062993269;25;0.31417497890932455;120;0.3141750191409477;0.013133049011230469;
ROUND 21;0.3141750191409477;-;0.3141750191409477;235;0.3141750521543692;109;0.3141750771359153;142;0.3141750950964003;86;0.31417508555902224;-;0.31417508555902224;279;0.3141750726379258;241;0.31417508555902224;122;0.31417507802120764;189;0.3141750891705884;0.013605356216430664;
ROUND 22;0.3141750891705884;203;0.3141750843682526;289;0.3141751007774176;193;0.314175115991461;49;0.31417512645219176;117;0.31417511602951925;246;0.3141751098490504;150;0.31417510419672656;79;0.3141751088754341;156;0.31417510628533607;239;0.31417511098002704;0.014200687408447266;
ROUND 23;0.31417511098002704;37;0.31417510901576645;129;0.31417511290663014;77;0.31417511655027086;274;0.3141751188987125;178;0.31417511741274684;53;0.3141751160211005;96;0.3141751133066538;112;0.3141751150822023;258;0.31417511418698835;275;0.3141751156890363;0.04088544845581055;
ROUND 24;0.3141751156890363;63;0.3141751145381828;104;0.3141751156890363;137;0.31417511670560144;195;0.3141751173599577;231;0.31417511675312365;-;0.31417511675312365;219;0.3141751164955245;169;0.314175117327134;108;0.3141751167047305;78;0.31417511712506746;0.016476869583129883;
ROUND 25;0.31417511712506746;-;0.31417511712506746;196;0.3141751174546971;71;0.31417511804747084;270;0.31417511830507;217;0.31417511820609084;167;0.3141751178764612;151;0.31417511775279533;206;0.3141751179194271;26;0.31417511752909044;272;0.31417511761982236;0.015546083450317383;
ROUND 26;0.31417511761982236;224;0.3141751176007564;160;0.31417511812375404;82;0.3141751183919353;271;0.31417511852131774;260;0.31417511847266244;-;0.31417511847266244;247;0.3141751184627686;232;0.3141751185537589;209;0.31417511851490765;205;0.3141751185624188;0.01557302474975586;
ROUND 27;0.3141751185624188;204;0.3141751185472387;222;0.31417511856830443;211;0.31417511857770086;238;0.3141751185838462;262;0.3141751185799173;-;0.3141751185799173;242;0.31417511857763664;170;0.3141751186307929;-;0.3141751186307929;255;0.3141751186340405;0.016542911529541016;
ROUND 28;0.3141751186340405;228;0.31417511862860964;267;0.3141751186328467;230;0.31417511863858233;249;0.314175118642056;251;0.3141751186399818;291;0.314175118639029;229;0.3141751186372706;261;0.31417511864084174;281;0.314175118640647;200;0.31417511864280295;0.022802114486694336;
ROUND 29;0.31417511864280295;-;0.31417511864280295;248;0.3141751186437398;223;0.3141751186472742;257;0.31417511864739356;214;0.3141751186472285;208;0.3141751186471858;-;0.3141751186471858;234;0.3141751186486573;-;0.3141751186486573;292;0.31417511864873243;0.04607748985290527;
ROUND 30;0.31417511864873243;218;0.31417511864870307;225;0.3141751186488671;286;0.31417511864893477;240;0.3141751186489495;207;0.31417511864893477;-;0.31417511864893477;-;0.31417511864893477;221;0.31417511864894093;-;0.31417511864894093;282;0.3141751186489495;0.03253746032714844;
ROUND 31;0.3141751186489495;266;0.31417511864894626;284;0.31417511864895314;-;0.31417511864895314;198;0.31417511864895814;210;0.31417511864895487;-;0.31417511864895487;244;0.31417511864895437;252;0.3141751186489556;-;0.3141751186489556;254;0.3141751186489558;0.03142499923706055;
ROUND 32;0.3141751186489558;199;0.31417511864895536;-;0.31417511864895536;-;0.31417511864895536;-;0.31417511864895536;233;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;0.014587879180908203;
ROUND 33;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;268;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;0.015509843826293945;
ROUND 34;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;-;0.31417511864895503;0.00928807258605957;
