Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu before;Debator4;issu before;Debator5;issu before;Debator6;issu before;Debator7;issu before;Debator8;issu before;Debator9;issu before;Debator10;issu;Run Time;
Initial State; - ;0.29280911157243783; - ;0.31739466986464904; - ;0.3329580372163545; - ;0.3313570186279851; - ;0.3008235151951336; - ;0.26839505741935543; - ;0.29547795557656725; - ;0.32242420386023624; - ;0.2715882278802132; - ;0.31465837805079694;1;0;
ROUND 1;1;1;0.5;2;0.3333333333333333;-;0.3333333333333333;-;0.3333333333333333;-;0.3333333333333333;4;0.25;187;0.2857142857142857;23;0.3333333333333333;5;0.25;256;0.2857142857142857;0.007785797119140625;
ROUND 2;0.2857142857142857;-;0.2857142857142857;19;0.3333333333333333;-;0.3333333333333333;-;0.3333333333333333;237;0.31578947368421056;3;0.24000000000000005;128;0.27272727272727276;212;0.29411764705882354;99;0.28037383177570097;42;0.30303030303030304;0.005966663360595703;
ROUND 3;0.30303030303030304;98;0.29411764705882354;91;0.30927835051546393;18;0.32608695652173914;215;0.32876712328767127;113;0.31168831168831174;146;0.2962962962962963;269;0.29545454545454547;192;0.3207236842105263;85;0.3140096618357488;287;0.31437125748503;0.00886225700378418;
ROUND 4;0.31437125748503;263;0.3057553956834532;90;0.3168264110756124;139;0.3236627379873073;152;0.32630304138198934;8;0.3193559208319356;227;0.3133493205435651;7;0.3038288637420555;127;0.3261231281198003;148;0.325103668261563;201;0.31975246323987333;0.01006007194519043;
ROUND 5;0.31975246323987333;121;0.31114286443316064;11;0.3149114198646764;15;0.31821503131524004;265;0.3212261960055736;59;0.31638659306474737;130;0.3149266871072524;293;0.31230276445342087;47;0.31402329679891344;13;0.31278520635743917;165;0.3143776383328254;0.011369466781616211;
ROUND 6;0.3143776383328254;27;0.3126532315861032;9;0.3147370717348103;55;0.3164846057358356;10;0.3179136270916266;202;0.3167060090280366;17;0.31590601436108007;220;0.31515950289674627;188;0.31599815402211806;84;0.3153214748779079;65;0.31461813666538274;0.01182103157043457;
ROUND 7;0.31461813666538274;111;0.3139693324201538;34;0.31515373496707205;44;0.31580956278340766;172;0.31632516801183197;14;0.31570531295977816;250;0.31519420398237996;45;0.31473010524557443;30;0.315010060801714;123;0.31464057358376324;-;0.31464057358376324;0.009991645812988281;
ROUND 8;0.31464057358376324;283;0.31427068108337713;70;0.31451083422766;12;0.31473637650690883;93;0.3149031448066531;75;0.3145043748672885;102;0.3142208775007709;194;0.3139935426470839;226;0.3141993806047395;186;0.31391757287057703;95;0.3141007153758851;0.011103630065917969;
ROUND 9;0.3141007153758851;184;0.3137423637362731;118;0.3139036821363042;32;0.3140570958364934;132;0.3142633584021519;100;0.3139615101568825;182;0.313819335276046;131;0.3137447167398932;190;0.31388682400206475;16;0.3137998375719313;46;0.31396232119625467;0.011824846267700195;
ROUND 10;0.31396232119625467;48;0.31389480622027083;183;0.3140246754095146;126;0.3141476901412452;56;0.31421724216349545;28;0.3141302581199734;153;0.3140796427965096;135;0.3140314007470239;174;0.31408200052159013;38;0.31396537027724813;157;0.3140380283950566;0.011072397232055664;
ROUND 11;0.3140380283950566;72;0.31398975190907097;168;0.31404754295749265;76;0.3140958372174345;66;0.3141389338461434;107;0.3140675431380125;285;0.3140214315973728;103;0.31398970529710524;62;0.3140288260390264;173;0.31400245460562753;140;0.31402068577251846;0.009125232696533203;
ROUND 12;0.31402068577251846;213;0.3139989255964221;175;0.31404305304760244;106;0.31407918236367766;64;0.3141073996144133;149;0.3140881023651997;40;0.31406951209506917;97;0.31405245342065224;133;0.31406839920070173;50;0.31404643962070317;81;0.3140584369241881;0.012613296508789062;
ROUND 13;0.3140584369241881;21;0.31402913439411195;74;0.314060599347806;69;0.31407138116408256;52;0.3141178814473284;67;0.31410306535337723;22;0.3140927746457731;115;0.31408664177452233;110;0.31409697004826503;24;0.3140923804485866;288;0.31410161111129675;0.013741254806518555;
ROUND 14;0.31410161111129675;280;0.3140982372726463;94;0.3141159129819821;277;0.3141271779430589;159;0.31413525346726706;114;0.31412933602425075;162;0.31412636645670744;58;0.3141239732101642;273;0.3141316951278978;177;0.3141303223451158;39;0.31413616488484564;0.012188434600830078;
ROUND 15;0.31413616488484564;43;0.3141341054007398;163;0.31413982200352736;290;0.31414547822132055;138;0.3141511210880442;166;0.31414890536825596;143;0.314148161270593;-;0.314148161270593;161;0.31415290275582025;185;0.314151066164152;155;0.31415480232099324;0.011549949645996094;
ROUND 16;0.31415480232099324;158;0.31415327719358166;92;0.31415867998929464;41;0.3141624595720331;89;0.31416577913881283;73;0.31416449157866466;-;0.31416449157866466;35;0.31416305832846114;105;0.3141656089679748;20;0.3141645274994665;276;0.3141654412058892;0.013355493545532227;
ROUND 17;0.3141654412058892;60;0.3141645634843486;134;0.314168283034695;116;0.3141703789410059;124;0.31417131912311874;253;0.3141709655261658;259;0.31417080924176555;147;0.3141699994144861;61;0.3141708643431981;33;0.31417054689231383;83;0.31417161270808847;0.01307988166809082;
ROUND 18;0.31417161270808847;197;0.3141713021381105;278;0.31417198324561624;180;0.3141725859470964;36;0.3141730766102089;51;0.3141728887701145;-;0.3141728887701145;-;0.3141728887701145;101;0.314173289104301;-;0.314173289104301;236;0.31417363347283656;0.013654232025146484;
ROUND 19;0.31417363347283656;245;0.31417348557216085;145;0.3141738247234576;125;0.3141740153004321;136;0.31417429193604895;119;0.31417418681568327;-;0.31417418681568327;-;0.31417418681568327;80;0.314174358404457;29;0.3141742930859119;243;0.3141745563492187;0.011574983596801758;
