Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu;Run Time;
Initial State; - ;0.22826086956521738; - ;0.2542372881355932; - ;0.31578947368421056;1;0;
ROUND 1;1;1;0.5;2;0.3333333333333333;-;0.3333333333333333;0.0004229545593261719;
ROUND 2;0.3333333333333333;4;0.25;-;0.25;7;0.2857142857142857;0.0003364086151123047;
ROUND 3;0.2857142857142857;3;0.2222222222222222;12;0.25;9;0.2857142857142857;0.0003743171691894531;
ROUND 4;0.2857142857142857;5;0.2222222222222222;17;0.25;-;0.25;0.0004944801330566406;
ROUND 5;0.25;13;0.24000000000000005;18;0.25;-;0.25;0.0004572868347167969;
ROUND 6;0.25;11;0.24000000000000005;10;0.24390243902439027;-;0.24390243902439027;0.0004649162292480469;
ROUND 7;0.24390243902439027;14;0.2390438247011952;-;0.2390438247011952;-;0.2390438247011952;0.00039458274841308594;
ROUND 8;0.2390438247011952;-;0.2390438247011952;-;0.2390438247011952;-;0.2390438247011952;0.0002913475036621094;
