Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu;Run Time;
Initial State; - ;1.0; - ;0.5; - ;0.4;1;0;
ROUND 1;1;-;1;3;0.5;1;0.3333333333333333;0.0002734661102294922;
ROUND 2;0.3333333333333333;-;0.3333333333333333;5;0.4;-;0.4;0.0001964569091796875;
ROUND 3;0.4;-;0.4;4;0.5;2;0.3333333333333333;0.000232696533203125;
ROUND 4;0.3333333333333333;-;0.3333333333333333;-;0.3333333333333333;-;0.3333333333333333;0.00012087821960449219;
