Round,issu before,Debator1,issu before,Debator2,issu before,Debator3,issu before,Debator4,issu before,Debator5,issu before,Debator6,issu before,Debator7,issu before,Debator8,issu before,Debator9,issu before,Debator10,issu,Run Time,
Initial State, - ,0.40, - ,0.31, - ,0.31, - ,0.30, - ,0.21, - ,0.26, - ,0.30, - ,0.30, - ,0.47, - ,0.31,1.00,0,
ROUND 1,1.00,4,0.50,2,0.33,-,0.33,-,0.33,1,0.25,-,0.25,27,0.29,29,0.30,14,0.35,28,0.34,0.0012118816375732422,
ROUND 2,0.34,-,0.34,13,0.33,26,0.32,25,0.31,5,0.24,17,0.25,7,0.29,-,0.29,-,0.29,8,0.30,0.0011565685272216797,
ROUND 3,0.30,-,0.30,-,0.30,10,0.31,15,0.30,3,0.23,19,0.26,31,0.30,11,0.30,-,0.30,12,0.30,0.0012431144714355469,
ROUND 4,0.30,-,0.30,9,0.30,16,0.31,-,0.31,33,0.29,21,0.28,36,0.30,-,0.30,22,0.31,32,0.31,0.0011875629425048828,
ROUND 5,0.31,-,0.31,-,0.31,35,0.31,18,0.31,37,0.30,6,0.30,30,0.30,-,0.30,23,0.30,34,0.31,0.0010166168212890625,
ROUND 6,0.31,-,0.31,-,0.31,-,0.31,-,0.31,-,0.31,24,0.31,-,0.31,-,0.31,-,0.31,-,0.31,0.0005288124084472656,
ROUND 7,0.31,-,0.31,-,0.31,-,0.31,-,0.31,-,0.31,-,0.31,-,0.31,-,0.31,-,0.31,-,0.31,0.0004239082336425781,
