Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu;Run Time;
Initial State; - ;0.25; - ;0.25; - ;0.4;1;0;
ROUND 1;1;4;0.5;1;0.3333333333333333;-;0.3333333333333333;0.0003409385681152344;
ROUND 2;0.3333333333333333;3;0.25;-;0.25;6;0.2857142857142857;0.00024771690368652344;
ROUND 3;0.2857142857142857;2;0.2222222222222222;-;0.2222222222222222;-;0.2222222222222222;0.00021219253540039062;
ROUND 4;0.2222222222222222;-;0.2222222222222222;-;0.2222222222222222;-;0.2222222222222222;0.00014734268188476562;
