Round;issue before;Debator1;issue before;Debator2;issue before;Debator3;issue;Runtime;
Initial State; - ;6/17; - ;2/5; - ;6/11;1;0;
ROUND 1;1;2;1/2;1;1/3;4;2/5;0.0004820823669433594;
ROUND 2;2/5;-;2/5;-;2/5;6;1/2;0.0002491474151611328;
ROUND 3;1/2;3;1/3;-;1/3;5;6/17;0.00024890899658203125;
ROUND 4;6/17;-;6/17;-;6/17;-;6/17;7.176399230957031e-05;
