Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu;Run Time;
Initial State; - ;0.3333333333333333; - ;0.25; - ;0.5;1;0;
ROUND 1;1;1;0.5;3;0.3333333333333333;-;0.3333333333333333;0.0003223419189453125;
ROUND 2;0.3333333333333333;-;0.3333333333333333;5;0.25;-;0.25;0.00017118453979492188;
ROUND 3;0.25;-;0.25;-;0.25;-;0.25;0.00011205673217773438;
