Round;issue before;Debator1;issue before;Debator2;issue before;Debator3;issue;Runtime;
Initial State; - ;1/3; - ;1/2; - ;6/11;1;0;
ROUND 1;1;1;1/2;-;1/2;-;1/2;0.00016760826110839844;
ROUND 2;1/2;3;1/3;-;1/3;5;2/5;0.00020766258239746094;
ROUND 3;2/5;-;2/5;-;2/5;6;3/7;0.00015664100646972656;
ROUND 4;3/7;-;3/7;-;3/7;-;3/7;5.91278076171875e-05;
