Round,Debator 1,Debator 2,Debator 3,Debator 4,Debator 5,Debator 6,Debator 7,Debator 8,Debator 9,Debator 10,issu,
Initial State,0.6129032258064515,0.6153846153846154,0.625,0.6363636363636364,0.6129032258064515,0.7209302325581395,0.75,0.6153846153846154,0.7209302325581395,1.0,1,
ROUND 1,1=>0,9=>1,2=>9,6=>2,-,7=>1,-,-,-,-,0.7272727272727273,
ROUND 2,-,-,-,-,-,-,-,-,-,-,0.7272727272727273,
